start,end,text,speaker
1.684,2.784,"Okay,",SPEAKER_00
5.506,5.967,nevermind.,SPEAKER_01
5.987,6.027,Do,SPEAKER_01
9.549,11.35,you,SPEAKER_01
18.235,18.675,see,SPEAKER_01
18.735,18.875,our,SPEAKER_01
18.935,19.476,unicorns?,SPEAKER_01
20.817,20.937,Any,SPEAKER_01
20.977,21.037,of,SPEAKER_01
21.077,21.157,our,SPEAKER_01
21.217,21.577,unicorns,SPEAKER_01
21.597,21.677,or,SPEAKER_01
21.717,21.877,no?,SPEAKER_01
22.838,22.938,All,SPEAKER_01
23.058,23.218,right.,SPEAKER_01
29.098,29.518,Unicorn,SPEAKER_01
29.558,29.678,for,SPEAKER_01
29.718,29.998,two,SPEAKER_01
30.018,30.179,just,SPEAKER_01
30.199,30.859,disappeared.,SPEAKER_01
32.039,32.159,And,SPEAKER_01
32.199,32.419,your,SPEAKER_01
32.519,32.8,OBS,SPEAKER_01
32.88,33.24,stream,SPEAKER_01
33.28,33.42,just,SPEAKER_01
33.44,34.04,disappeared.,SPEAKER_01
38.082,38.462,Which,SPEAKER_01
39.822,39.982,one?,SPEAKER_01
40.022,40.103,The,SPEAKER_01
40.143,40.603,CSL,SPEAKER_01
40.623,41.123,laptop.,SPEAKER_01
48.326,48.466,And,SPEAKER_01
48.626,48.746,now,SPEAKER_01
48.766,48.906,they're,SPEAKER_01
48.946,49.226,back.,SPEAKER_01
52.067,52.748,Oops.,SPEAKER_03
61.749,61.869,All,SPEAKER_01
61.889,62.369,headers,SPEAKER_01
62.389,62.67,"received,",SPEAKER_01
62.71,62.81,I'm,SPEAKER_01
62.83,63.05,good.,SPEAKER_01
63.11,63.23,OK.,SPEAKER_01
63.31,63.41,And,SPEAKER_01
63.45,63.59,now,SPEAKER_01
65.432,65.532,I'm,SPEAKER_01
65.572,65.672,going,SPEAKER_01
65.692,65.772,to,SPEAKER_01
65.792,66.212,start,SPEAKER_01
67.373,68.014,recording.,SPEAKER_01
68.214,68.654,OK.,SPEAKER_01
68.694,68.954,Did,SPEAKER_01
68.994,69.274,you,SPEAKER_01
69.294,69.475,press,SPEAKER_01
69.495,69.615,it?,SPEAKER_01
69.655,69.715,Yep.,SPEAKER_01
69.735,69.835,That,SPEAKER_01
69.855,70.055,worked?,SPEAKER_01
71.756,71.876,Yep.,SPEAKER_01
71.976,72.036,OK.,SPEAKER_01
72.076,72.136,OK.,SPEAKER_01
91.426,91.586,We're,SPEAKER_01
91.606,91.626,a,SPEAKER_01
91.666,91.846,little,SPEAKER_01
92.006,92.146,"late,",SPEAKER_01
92.166,92.386,but,SPEAKER_01
92.406,92.566,we're,SPEAKER_01
92.586,92.866,working,SPEAKER_01
92.946,93.006,on,SPEAKER_01
93.086,93.206,it.,SPEAKER_01
94.487,94.667,Is,SPEAKER_01
94.747,94.867,that,SPEAKER_01
94.887,95.007,good?,SPEAKER_01
95.507,95.607,Did,SPEAKER_01
95.627,95.687,you,SPEAKER_01
95.727,96.027,already,SPEAKER_01
96.127,96.307,set,SPEAKER_01
96.367,96.427,up,SPEAKER_01
96.487,96.767,SSL?,SPEAKER_01
97.007,97.287,"Yeah,",SPEAKER_01
97.307,97.327,I,SPEAKER_01
97.887,98.107,started,SPEAKER_01
98.127,98.227,SSL,SPEAKER_01
